Company Name,Employees,HQ Location,Ownership Status,Description,Verticals,Primary Industry Sector,Primary Industry Group,Last Financing Date,Last Financing Deal Type,Last Financing Deal Type 2,Last Financing Size,Last Financing Valuation,Total Raised,# Active Investors,Active Investors,Website
LendingFront,25,"New York, NY",Privately Held (backing),"Developer of an integrated cash flow lending platform intended to automate processes and risk management activities. The company's platform offers a set of integrated or standalone modules covering all aspects of the financing process including application intake and workflow, underwriting, offer presentation, monitoring and servicing, enabling clients to automate the lending process, while retaining full control and manual oversight where desired.",FinTech,Information Technology,Software,15-Oct-18,Early Stage VC,Series A3,4,16,4.25,13,"Argonautic Ventures, BBVA Open Innovation, Contour Venture Partners, David Dziekanski, Information Venture Partners, Las Olas Venture Capital, Newark Venture Partners, Perry Dziekanski, Revel Partners, SixThirty, Socialatom Ventures, Struck Capital, ValueStream Ventures",www.lendingfront.com
Deako,25,"Seattle, WA",Privately Held (backing),"Developer of smart light switches designed to let people remotely control lights. The company's smart light system lets home owners control lights via a smartphone app or a smart speaker, the technology works off a home's existing wiring and provides smart lighting capability without requiring smart light bulbs, enabling home owners to improve convenience when turning lights on or off.","Internet of Things, Mobile, TMT",Consumer Products and Services (B2C),Consumer Durables,19-Feb-19,Early Stage VC,,1.99,,13.65,8,"Alumni Ventures Group, Green D Ventures, Promus Ventures, Strawberry Creek Ventures, SV Tech Ventures, Tandem Capital, Tekton Ventures, Y Combinator",www.deako.com
Worklete,25,"San Francisco, CA",Privately Held (backing),"Developer of a technology platform designed to reduce musculoskeletal injuries for transportation, shipping and logistics enterprises. The company's platform leverage principles from physical therapy, sports medicine and athletics to provide training of team leaders to promote safe movements, online education materials and employee engagement practices, enabling companies to reduce injury, improve workplace safety and increase employee morale.","SaaS, TMT",Healthcare,Healthcare Services,2-Aug-18,Early Stage VC,Series A,6.5,20.5,6.85,8,"500 Startups, Aspect Ventures, Kapor Capital, LaunchCapital, Plug and Play Tech Center, RiverPark Ventures, Silicon Badia, Trinity Ventures",www.worklete.com
ResoluteAI,25,"New York, NY",Privately Held (backing),"Developer of an artificial intelligence search and analytics platform designed to connect, integrate and enrich all types of structured and unstructured data sources. The company's platform connects all types of data sources ranging from traditional enterprise data warehouses to external data subscriptions and proprietary ontologies by capturing latent similarity and hierarchical features, enabling clients to deliver data management experience and reduce overhead costs.","Artificial Intelligence & Machine Learning, Big Data, SaaS, TMT",Business Products and Services (B2B),Commercial Services,18-Sep-17,Early Stage VC,Series A,4.56,13.02,4.56,1,Revolution,www.resolute.ai
Eta Compute,25,"Westlake Village, CA",Privately Held (backing),"Provider of a third generation machine intelligence platform intended to proliferate intelligent devices at the network edge. The company's third generation machine intelligence platform offers fully programmable low power processor that supports neuromorphic machine learning and can run learning tasks more efficiently than traditional computers, enabling customers make their daily life safer, healthier, comfortable and more convenient without sacrificing privacy and security.","Artificial Intelligence & Machine Learning, Big Data, Internet of Things, TMT",Information Technology,Computer Hardware,23-Jan-18,Early Stage VC,Series A,8,23,11.4,4,"Acorn Pacific Ventures, SKTA Innopartners, Walden International, WRV Capital",www.etacompute.com
Cherre,25,"New York, NY",Privately Held (backing),"Provider of a Platform-as-a-Service platform designed to collect, resolve and augment real estate data from public, private and internal sources. The company's platform provides partners a competitive advantage, helping them evaluate opportunities and trends faster and more accurately than ever before, enabling companies save dollars in manual data collection and analytics costs","Real Estate Technology, TMT",Information Technology,Software,1-Oct-18,Seed Round,Seed Round,9,33,11,15,"Angel Investor Forum, Bouaziz and Partners, Carthona Capital, Drake Capital Advisors, DreamIt Ventures, GHC Capital Markets, Harvard Business School Alumni Angels of London, iLOOKABOUT, Navitas Capital, New York Angels, Recursive Capital, Red Swan Ventures, Sarona Ventures, SW1 Capital, Wharton Alumni Angel",www.cherre.com
Uptycs,25,"Waltham, MA",Privately Held (backing),"Developer of security analytics platform designed to offer preventative controls. The company's platform collects, aggregates and analyzes endpoint telemetry and transforms it into context-rich dashboards, reports and alerts for system management, anomaly detection and incident response using robust analytics, enabling clients to develop a continuous and proactive security posture to manage compliance by discovering vulnerabilities.","Cybersecurity, SaaS, TMT",Information Technology,Software,29-Aug-17,Early Stage VC,Series A,10.25,,10.25,4,"Comcast Ventures, ForgePoint Capital, Founder Collective, Genacast Ventures",www.uptycs.com
LogRocket,25,"Cambridge, MA",Privately Held (backing),"Provider of software development tools intended to record videos of user sessions with logs and network data, identifying UX problems and revealing the root cause of every bug. The company's tools help in updating production of real native applications, which are made with javascript coding and makes them usable for multiple platforms and also fixes the bugs if any, enabling developers to deploy mobile applications instantly without any hassle.",Mobile,Information Technology,Software,21-Mar-19,Early Stage VC,Series A,11,39,15,6,"Battery Ventures, Dorm Room Fund, Horizon 2020, Matrix Partners, Rough Draft Ventures, Thiel Foundation",www.logrocket.com
ExplORer Surgical,25,"Chicago, IL",Privately Held (backing),"Provider of an interactive surgical playbook intended to reduce disruptions and waste disposables by improving surgical team communication. The company's playbook guides through surgery by providing step-by-step instructions for each team member in the operating room, enabling doctors and medical professionals to enhance the quality of care and efficiency.","HealthTech, TMT",Healthcare,Healthcare Technology Systems,1-Apr-19,Early Stage VC,,5,,9.3,16,"Aphelion Capital, CJM Ventures, Elliott Management, Harvard Business School Alumni Angels of Chicago, Health Innovator, HealthTech Arkansas, M25, Matter, MedTech Innovator, National Science Foundation, New Venture Challenge, Polsky Center, Pritzker Group Venture Capital, SymphonyAlpha Ventures, University of Chicago, Wasson Enterprise",www.explorersurgical.com
Backbone (PLM Solutions),25,"Boulder, CO",Privately Held (backing),"Developer of next generation PLM solution designed to help consumer goods companies manage complex design and product development processes from anywhere. The company's solutions use design collaboration tools that allow users to create and manage tech packs, store artwork and project files, providing enterprises with a tool for their product development needs.","Mobile, SaaS, TMT",Information Technology,Software,15-Aug-18,Early Stage VC,Series A2,8,,12.07,9,"Beanstalk Ventures, Brainchild Holdings, Grotech Ventures, Mesh Ventures (California), Novel TMT Ventures, Peterson Partners, Service Provider Capital, Signal Peak Ventures, Spider Capital",www.backboneplm.com
Hungry Marketplace,25,"Arlington, VA",Privately Held (backing),"Provider of a office food catering and delivery platform designed to offer businesses a variety of locally prepared food. The company's platform offers a network of local chefs with curated menus to select from for office lunches or events, enabling businesses to get a fast, easy and reliable catering option.","FoodTech, Mobile, Restaurant Technology, TMT",Business Products and Services (B2B),Commercial Services,19-Mar-19,Early Stage VC,Series A,8,27,12.5,26,"Ahimsa Investments, Ahmad Ishaq, Brent Hoberman, Brent Thompson, Dan Simons, Daniel Kao, Daniel Klueger, Dave Free, Eric Kessler, GP Ventures+, Marcy Venture Partners, Matt Sonefeldt, Ming Tsai, Motley Fool Ventures, Ndamukong Suh, OnRamp Fund, Private Access Network, RJ Jones, Robert G. Hisaoka, Sands Capital Ventures, Seth Goldman, The Syndicate Fund, Timeless Media, Tom Colicchio, Usher Raymond, Walter Robb",www.tryhungry.com
Decision Cloud,25,"Bellevue, WA",Privately Held (backing),"Provider of a cognitive computing platform designed to predict and influence future outcomes by quantifying how people make decisions. The company's platform predicts future outcomes by combining artificial intelligence, machine learning, behavioral analysis and decision intelligence to quantify how people make decisions, enabling business intelligence and machine learning systems to solve operational efficiencies, customer demand, product marketing and sales problems.","Artificial Intelligence & Machine Learning, Big Data, TMT",Information Technology,Software,28-Jan-19,Early Stage VC,,3.95,,7.8,9,"A. Soriano, Archibald Cox, BW Capital Partners, Deerhaven, Erik Jorgensen, Flying Fish Partners, Matt Sauri, Scott Moore, Stephen Lawler",www.decisioncloud.io
Fetch Package,25,"Dallas, TX",Privately Held (backing),"Provider of an off-site package delivery service designed for apartment buildings. The company's service accepts and stores all resident packages at local warehouses and coordinates scheduled, door-to-door delivery with tenants directly, enabling multifamily property managers to save time and space by more easily handling resident packages.",,Consumer Products and Services (B2C),Services (Non-Financial),1-Jul-18,Seed Round,Seed Round,3.1,9.35,3.55,5,"Capital Factory, Silverton Partners, Social Capital, Tech Wildcatters, Venn Ventures",www.fetchpackage.com
